股票代码,股票名称,当前价,涨跌额,涨跌幅,年初至今,成交量,成交额,换手率,市盈率(TTM),股息率,市值
SZ300254,仟源医药,7.34,+0.12,1.66%,8.42%,8272318,60737705,3.69%,,,1773480252
SZ300510,金冠股份,6.14,+0.1,1.66%,14.77%,37810974,231284602,4.6%,151.342,,5087750507
SH603678,火炬电子,40.97,+0.67,1.66%,0.07%,1603997,65655509.72,0.35%,21.096,1.174%,18817335037
SZ000538,云南白药,57.7,+0.94,1.66%,6.14%,8208836,471803906,0.49%,39.007,1.979%,103678969077
SZ300872,天阳科技,13.44,+0.22,1.66%,3.94%,2610813,35031663,1.02%,346.112,0.417%,5435507670
SZ001201,东瑞股份,29.35,+0.48,1.66%,2.19%,1623731,47593891,1.54%,,0.569%,6245844360
SH600490,鹏欣资源,3.07,+0.05,1.66%,2.33%,18449000,56690675.46,0.93%,,,6793563333
SZ300218,安利股份,10.43,+0.17,1.66%,4.3%,912187,9480390,0.42%,10.414,2.013%,2263174410
SZ002987,京北方,28.09,+0.46,1.66%,5.64%,5858540,164278962,4.5%,38.038,0.281%,8845492320
SZ002341,新纶新材,3.68,+0.06,1.66%,5.44%,4430100,16195165,0.46%,,,4240149699
SH600265,ST景谷,15.27,+0.25,1.66%,0.46%,599552,9307325.2,0.46%,,,1982046000
SZ000703,恒逸石化,7.37,+0.12,1.66%,4.84%,15149263,110901756,0.42%,16.031,2.714%,27020489540
SZ300110,华仁药业,4.29,+0.07,1.66%,1.18%,10881589,46426542,0.92%,37.204,0.42%,5071693693
SZ002745,木林森,8.55,+0.14,1.66%,5.43%,8318145,70506040,0.86%,20.574,1.614%,12689622711
SZ002568,百润股份,39.88,+0.65,1.66%,6.75%,7337621,291044554,1.02%,102.681,0.898%,41880379005
SH688306,均普智能,4.94,+0.08,1.65%,4%,1664301,8186006.4,0.58%,108.551,,6067717032
SH603858,步长制药,21.54,+0.35,1.65%,2.52%,5073440,108965773.26,0.46%,18.581,1.727%,23824158573
