股票名称,股票代码,当前价,涨跌额,涨跌幅,年初至今,成交量,成交额,换手率,市盈率(TTM),股息率,市值
欧晶科技,SZ001269,102.06,0.17,0.17%,2.84%,522110.0,52966304.0,1.52%,81.091,0,14025659390
一鸣食品,SH605179,12.0,0.22,1.87%,-5.81%,520800.0,6203443.0,0.85%,-44.873,0.134%,4812000000
浙版传媒,SH601921,7.36,0.02,0.27%,-0.54%,520500.0,3832365.0,0.12%,11.573,4.342%,16355555561
洛凯股份,SH603829,11.37,0.13,1.16%,7.98%,520400.0,5876778.0,0.33%,27.017,0.88%,1819200000
岱美股份,SH603730,17.49,0.03,0.17%,8.77%,519374.0,9092650.0,0.06%,35.159,2.189%,16471035346
奥普特,SH688686,147.69,10.69,7.8%,11.89%,519313.0,74993809.0,1.52%,49.337,0.52%,18027630978
新天绿能,SH600956,9.85,0.04,0.41%,2.18%,519100.0,5109967.0,0.18%,17.972,1.695%,41242866769
龙泉股份,SZ002671,4.36,-0.01,-0.23%,0.93%,518500.0,2267185.0,0.11%,-19.678,0,2466562604
通合科技,SZ300491,14.8,0.12,0.82%,7.09%,518200.0,7618664.0,0.34%,54.922,0.203%,2565372813
未名医药,SZ002581,15.3,0.12,0.79%,-2.86%,518100.0,7911202.0,0.13%,-834.502,0,10087357110
英力特,SZ000635,8.83,0.02,0.23%,1.96%,518000.0,4573169.0,0.17%,-8.866,0,2692756838
康平科技,SZ300907,19.17,0.06,0.31%,7.21%,517800.0,10047142.0,1.4%,112.486,0,1841280000
博迈科,SH603727,11.68,0.06,0.52%,1.92%,517700.0,6044020.0,0.18%,72.4,2.19%,3290481155
金辰股份,SH603396,85.69,0.14,0.16%,2.94%,517638.0,44315852.0,0.45%,267.045,0.186%,9954436091
深圳华强,SZ000062,12.08,0.03,0.25%,-1.06%,517625.0,6245856.0,0.05%,14.481,2.486%,12634584610
浙江鼎力,SH603338,50.07,-0.12,-0.24%,4.64%,517414.0,26048418.0,0.1%,24.59,0.679%,25352838302
四方科技,SH603339,12.83,0.04,0.31%,5.08%,517300.0,6644776.0,0.17%,14.368,1.059%,3970130275
宸展光电,SZ003019,23.3,0.01,0.04%,9.34%,517090.0,12048765.0,0.51%,13.197,1.676%,3435911783
科兴制药,SH688136,22.86,0.13,0.57%,6.62%,516893.0,11760300.0,0.77%,-126.987,0.438%,4542296859
设计总院,SH603357,9.26,0.02,0.22%,1.98%,516200.0,4775114.0,0.11%,10.574,4.968%,4329757260
南卫股份,SH603880,6.14,0.06,0.99%,-0.97%,515700.0,3151103.0,0.18%,-60.256,0,1795790360
爱美客,SZ300896,623.25,13.25,2.17%,10.05%,514766.0,318734173.0,0.58%,108.715,0.337%,134878824000
格林达,SH603931,29.0,0.3,1.05%,6.7%,513400.0,14809973.0,0.44%,32.404,0.732%,5787193020
上海临港,SH600848,12.08,0.06,0.5%,1.34%,511630.0,6167258.0,0.02%,31.659,2.488%,30471643008
中毅达,SH600610,16.17,0.01,0.06%,1.89%,511624.0,8275075.0,0.11%,414.761,0,17322510363
中光学,SZ002189,15.06,0.18,1.21%,3.43%,510316.0,7662802.0,0.19%,238.956,1.495%,3944225182
久之洋,SZ300516,26.43,0.12,0.46%,8.59%,509950.0,13518296.0,0.28%,56.574,0.451%,4757400000
回盛生物,SZ300871,21.3,0.47,2.26%,4.41%,509900.0,10811621.0,0.61%,89.447,1.55%,3535301135
畅联股份,SH603648,8.72,0.08,0.93%,-3.65%,509600.0,4425655.0,0.14%,21.459,3.444%,3160239616
红相股份,SZ300427,18.0,0.0,0%,7.02%,509000.0,9167946.0,0.16%,-10.074,0,6515249261
福建水泥,SH600802,5.22,-0.01,-0.19%,-2.43%,506746.0,2646249.0,0.11%,-63.405,1.686%,2392056648
壶化股份,SZ003002,19.13,0.49,2.63%,3.97%,506600.0,9573594.0,0.65%,36.421,0.792%,3826000000
ST天山,SZ300313,6.06,-0.02,-0.33%,-1.62%,506500.0,3050031.0,0.27%,-56.24,0,1896643020
之江生物,SH688317,34.19,0.34,1%,2.37%,506039.0,17270706.0,0.41%,8.487,3.994%,6656941727
正丹股份,SZ300641,5.13,0.02,0.39%,0.98%,504740.0,2585172.0,0.1%,25.812,0.975%,2511671023
益客食品,SZ301116,15.54,0.1,0.65%,-9.07%,504237.0,7811251.0,1.17%,196.05,0.335%,6977142875
江苏神通,SZ002438,10.92,0.05,0.46%,-0.09%,502586.0,5468874.0,0.11%,25.27,0.457%,5542309074
宁波中百,SH600857,10.58,0.09,0.86%,-4.6%,502500.0,5314840.0,0.22%,6.517,0,2373304743
雷曼光电,SZ300162,6.71,0.02,0.3%,2.29%,501700.0,3363542.0,0.19%,53.168,0,2345212301
仙鹤股份,SH603733,31.6,0.46,1.48%,3.71%,500801.0,15745568.0,0.07%,32.805,1.105%,22308810126
东软载波,SZ300183,12.8,0.14,1.11%,6.22%,500700.0,6396643.0,0.15%,37.999,1.172%,5921396954
捷荣技术,SZ002855,8.69,0.05,0.58%,10.28%,499700.0,4322923.0,0.2%,-7.922,0,2177821773
南极光,SZ300940,19.56,0.06,0.31%,4.77%,499360.0,9761923.0,0.66%,-286.365,0.48%,3727589943
大元泵业,SH603757,22.27,0.37,1.69%,15.45%,499200.0,11081868.0,0.3%,18.245,1.572%,3714128244
长城科技,SH603897,21.7,-0.02,-0.09%,1.64%,498826.0,10835853.0,0.24%,31.744,2.296%,4479654278
超讯通信,SH603322,17.58,-0.05,-0.28%,7.85%,498000.0,8763785.0,0.32%,-18.215,0,2772700020
华升股份,SH600156,4.66,-0.01,-0.21%,-1.69%,497300.0,2327220.0,0.12%,-8.39,0,1873835871
气派科技,SH688216,26.51,0.65,2.51%,3.88%,496770.0,13121996.0,1.17%,1858.984,1.509%,2817217700
百诚医药,SZ301096,77.51,1.98,2.62%,13.47%,496488.0,38170450.0,0.72%,43.686,0.776%,8382916693
兰生股份,SH600826,9.26,-0.01,-0.11%,0.76%,496200.0,4613163.0,0.12%,136.166,1.226%,4933367369
*ST日海,SZ002313,5.97,0.02,0.34%,6.42%,495800.0,2968300.0,0.13%,-2.464,0,2235168000
倍杰特,SZ300774,11.79,0.14,1.2%,1.55%,495700.0,5826333.0,0.4%,25.611,1.696%,4819323551
东风科技,SH600081,10.61,0.05,0.47%,2.91%,495600.0,5255385.0,0.16%,25.663,1.449%,4991144582
地素时尚,SH603587,15.42,0.28,1.85%,1.31%,495000.0,7573740.0,0.1%,14.58,6.519%,7418216592
江苏新能,SH603693,12.6,0.07,0.56%,-2.55%,494687.0,6215057.0,0.06%,37.717,0.612%,11232596088
舒华体育,SH605299,10.21,0.04,0.39%,-11.98%,494000.0,5040923.0,0.44%,41.469,2.253%,4201404790
