股票名称,股票代码,当前价,涨跌额,涨跌幅,年初至今,成交量,成交额,换手率,市盈率(TTM),股息率,市值
ST大集,SZ000564,1.51,0.07,4.86%,-5.03%,274946474.0,412175592.0,1.81%,-351.506,0,28937303776
二三四五,SZ002195,2.79,0.01,0.36%,38.81%,240968618.0,675905634.0,4.26%,39.632,0.714%,15915076503
中航产融,SH600705,3.95,0.22,5.9%,20.43%,163022610.0,634832372.0,1.85%,10.212,3.949%,34881233447
合力泰,SZ002217,3.2,0.15,4.92%,25.49%,157115178.0,509580100.0,5.05%,-6.293,0,9972531904
二六三,SZ002467,6.5,0.11,1.72%,30.78%,155433293.0,1002899672.0,11.44%,712.714,0,8991972056
京东方A,SZ000725,3.82,0.06,1.6%,13.02%,119797461.0,456128993.0,0.33%,13.275,5.538%,145910108268
农业银行,SH601288,2.93,-0.01,-0.34%,0.69%,115747200.0,339446962.0,0.04%,4.07,7.089%,1025450289248
久其软件,SZ002279,8.84,0.8,9.95%,25.21%,114539420.0,987671676.0,14.53%,-74.241,0,7653394636
联络互动,SZ002280,3.16,0.29,10.1%,13.67%,113660993.0,355762940.0,6.02%,-8.828,0,6879792973
中公教育,SZ002607,5.05,0.21,4.34%,9.07%,98895156.0,492133752.0,1.81%,-12.971,0,31145366914
湘财股份,SH600095,9.91,0.9,9.99%,31.08%,89897312.0,859224441.0,7.96%,-1431.07,1.342%,28294278434
省广集团,SZ002400,4.85,-0.01,-0.21%,13.32%,85383120.0,415714935.0,5.05%,44.983,0.33%,8437751700
东方财富,SZ300059,22.38,0.63,2.9%,15.36%,81027317.0,1790433612.0,0.73%,33.181,0.301%,295732957735
盈方微,SZ000670,8.95,0.34,3.95%,27.49%,77267061.0,679792785.0,12.66%,1243.172,0,7300648598
波导股份,SH600130,5.27,0.48,10.02%,18.43%,76322609.0,392904862.0,9.94%,139.178,0,4047360000
鹏都农牧,SZ002505,2.82,0.07,2.55%,9.3%,74222726.0,206380007.0,1.16%,327.647,0,17975416268
安妮股份,SZ002235,9.68,0.03,0.31%,30.63%,72348939.0,694079386.0,13.19%,-1650.355,0,5604463986
英飞拓,SZ002528,11.98,0.52,4.54%,6.77%,68476331.0,788901859.0,6.54%,-9.541,0,14348140732
康恩贝,SH600572,4.96,0.4,8.77%,4.86%,63306852.0,305919962.0,2.47%,6.313,3.245%,12747385102
东方证券,SH600958,10.92,0.09,0.83%,22.15%,59921811.0,652126243.0,0.8%,30.448,2.304%,92783366589
步步高,SZ002251,7.33,0.67,10.06%,1.95%,58472786.0,415972390.0,6.77%,-16.563,1.364%,6332415961
隆基机械,SZ002363,8.82,0.8,9.98%,25.11%,56609937.0,468571163.0,13.6%,96.445,2.256%,3696993855
兔宝宝,SZ002043,16.68,0.08,0.48%,53.59%,56236956.0,948794112.0,8.1%,22.324,2.809%,12891000907
太平洋,SH601099,2.74,0.1,3.79%,6.61%,55001695.0,148379911.0,0.81%,-63.624,0,18676706854
金发拉比,SZ002762,12.48,0.24,1.96%,33.19%,50034216.0,632835891.0,24.85%,254.852,0.396%,4457174750
歌尔股份,SZ002241,18.42,0.35,1.94%,9.45%,48910328.0,896721590.0,1.63%,13.174,1.082%,62969575046
贵州百灵,SZ002424,8.3,0.36,4.53%,1.72%,48775277.0,403101615.0,4.06%,113.191,0,11712960000
摩恩电气,SZ002451,6.89,0.29,4.39%,19.41%,47300988.0,331906415.0,10.77%,197.027,0,3026088000
乔治白,SZ002687,5.12,0.37,7.79%,5.35%,47102197.0,238188567.0,11.71%,15.886,2.685%,2593325000
广发证券,SZ000776,16.86,0.44,2.68%,8.84%,44665203.0,749005157.0,0.75%,17.284,2.971%,128567748892
遥望科技,SZ002291,17.63,0.46,2.68%,35.62%,44516434.0,782958067.0,5.28%,-44.891,0,16065572050
天风证券,SH601162,3.04,0.05,1.67%,5.92%,44102350.0,132808185.0,0.51%,7484.893,0.199%,26343902691
中国银行,SH601988,3.22,-0.01,-0.31%,1.9%,42695893.0,138004641.0,0.02%,4.192,6.842%,947928687796
首创证券,SH601136,18.28,0.5,2.81%,4.94%,41860075.0,751177752.0,15.31%,70.841,0,49965341864
恒瑞医药,SH600276,42.27,3.0,7.64%,9.71%,41087631.0,1693231262.0,0.64%,77.046,0.382%,269640426122
兴业证券,SH601377,6.62,0.14,2.16%,15.33%,40444965.0,265320538.0,0.47%,19.054,2.744%,57170235886
海航控股,SH600221,1.82,0.02,1.11%,-2.15%,39014500.0,71152656.0,0.12%,-6.137,0,78652451214
黑芝麻,SZ000716,9.65,-0.01,-0.1%,20.63%,38782216.0,365475086.0,5.56%,-62.584,0,7164715667
山西证券,SZ002500,5.92,0.42,7.64%,11.7%,38715712.0,223511365.0,1.08%,37.665,2.065%,21251447558
新潮能源,SH600777,2.22,0.0,0%,1.83%,38068340.0,84580375.0,0.6%,5.996,0,15097100732
红日药业,SZ300026,6.02,0.25,4.33%,5.99%,37372156.0,223705031.0,1.38%,34.788,0.661%,18085012119
榕基软件,SZ002474,9.89,0.9,10.01%,17.32%,36951887.0,355576632.0,7.42%,327.627,0.101%,6153558000
岭南股份,SZ002717,3.06,0.0,0%,7.37%,36852045.0,113315853.0,2.68%,-12.179,0,5138678946
唐人神,SZ002567,7.61,0.31,4.25%,7.49%,36290255.0,274219053.0,3.05%,-14.093,0,10512024705
*ST金洲,SZ000587,0.89,0.04,4.71%,-4.3%,36089600.0,32111902.0,2.97%,-1.695,0,1890136904
通达动力,SZ002576,24.45,1.95,8.67%,107.73%,34983147.0,851699725.0,21.6%,66.974,0.327%,4036695000
通达股份,SZ002560,9.69,0.88,9.99%,42.08%,34352871.0,331828673.0,7.63%,80.396,0,5122324602
海南机场,SH600515,4.87,0.11,2.31%,-2.99%,33595315.0,163665066.0,0.37%,30.902,0,55641257762
永泰能源,SH600157,1.53,0.0,0%,0%,33288800.0,50948999.0,0.15%,17.991,0,33993179142
唐山港,SH601000,2.84,0.08,2.9%,3.65%,32776765.0,93574676.0,0.55%,9.744,12.195%,16829637264
慈文传媒,SZ002343,6.98,0.22,3.25%,7.22%,32485634.0,229017210.0,6.86%,-17.201,0,3315148808
TCL科技,SZ000100,3.9,0.04,1.04%,4.84%,31974751.0,124232972.0,0.23%,53.862,3.162%,66580377267
工商银行,SH601398,4.33,-0.01,-0.23%,-0.23%,31803130.0,137978017.0,0.01%,4.269,6.751%,1543239093195
*ST吉艾,SZ300309,0.81,0.05,6.58%,-43.36%,31712440.0,25093620.0,3.79%,-0.837,0,717760250
美年健康,SZ002044,6.45,0.18,2.87%,5.22%,29628200.0,190046545.0,0.77%,-293.64,0,25246937803
天下秀,SH600556,7.47,0.01,0.13%,10.83%,29520372.0,217814096.0,1.63%,44.944,0.272%,13503874886
老白干酒,SH600559,31.64,2.88,10.01%,14.93%,28601627.0,882037861.0,3.19%,42.996,0.478%,28942609128
上海机场,SH600009,62.89,4.89,8.43%,8.98%,27413908.0,1717275976.0,2.51%,-52.613,0,156500591473
居然之家,SZ000785,4.26,0.39,10.08%,4.16%,27226401.0,112972285.0,0.99%,12.808,3.866%,27813697190
中信证券,SH600030,20.98,0.23,1.11%,5.37%,27189192.0,566712336.0,0.24%,14.119,2.585%,310935072472
福日电子,SH600203,6.57,0.52,8.6%,12.31%,26804508.0,171362181.0,4.74%,-22.139,0,3895931699
无锡银行,SH600908,5.77,0.3,5.48%,9.49%,26588282.0,151393941.0,1.5%,5.867,3.147%,10741888615
全通教育,SZ300359,8.59,0.09,1.06%,11.41%,26300250.0,225423817.0,4.15%,88.545,0,5434000761
中国石油,SH601857,5.1,0.01,0.2%,2.62%,25964472.0,132419982.0,0.02%,6.798,5.863%,933406986872
京沪高铁,SH601816,4.96,0.01,0.2%,0.81%,25695850.0,127795584.0,0.05%,392.216,0.986%,243568163671
福能股份,SH600483,11.94,1.0,9.14%,12.85%,25615911.0,301391082.0,1.47%,12.726,1.771%,23337554529
中国人保,SH601319,5.33,-0.02,-0.37%,2.11%,24639738.0,132292674.0,0.07%,9.713,2.753%,235713869807
隆平高科,SZ000998,16.37,0.56,3.54%,1.87%,24458534.0,401890635.0,1.89%,-59.543,0,21558803778
天佑德酒,SZ002646,17.05,0.22,1.31%,11.44%,24302271.0,413819378.0,5.14%,103.722,0.295%,8057198707
保税科技,SH600794,4.01,0.26,6.93%,2.56%,23966540.0,95440064.0,1.98%,35.406,0.737%,4860730150
洛阳钼业,SH603993,4.9,0.02,0.41%,7.69%,23643438.0,116158304.0,0.13%,15.442,1.449%,105836278857
交通银行,SH601328,4.85,-0.02,-0.41%,2.32%,23310151.0,113182288.0,0.06%,3.945,7.335%,360174224228
正邦科技,SZ002157,4.14,0.09,2.22%,-2.13%,23074396.0,94867179.0,0.95%,-0.685,0,13216456922
庞大集团,SH601258,1.09,0.01,0.93%,-0.91%,22868804.0,24707052.0,0.22%,85.131,0,11147675326
中国铝业,SH601600,4.89,0.02,0.41%,9.4%,22763506.0,111349523.0,0.17%,19.341,0.654%,83920182684
光大证券,SH601788,15.9,0.21,1.34%,6.93%,22619364.0,356739591.0,0.58%,20.243,1.444%,73311523460
申万宏源,SZ000166,4.11,0.04,0.98%,3.27%,22599906.0,92359135.0,0.1%,16.419,2.445%,102914172142
中国石化,SH600028,4.44,-0.01,-0.22%,1.83%,22289169.0,98983503.0,0.02%,7.831,10.698%,532340049948
韦尔股份,SH603501,89.25,4.88,5.78%,15.77%,21957767.0,1894042394.0,1.86%,34.025,0.428%,105624162714
陕西金叶,SZ000812,6.36,0.09,1.44%,-7.83%,21698147.0,137400461.0,2.82%,65.332,0,4888885025
中国船舶,SH600150,22.53,0.58,2.64%,1.12%,21688077.0,493673586.0,0.89%,79.577,0.132%,100763819918
平安银行,SZ000001,14.96,0.01,0.07%,13.68%,21162756.0,315835792.0,0.11%,6.619,1.531%,290118477060
电科网安,SZ002268,32.7,2.3,7.57%,7.11%,21012972.0,675946164.0,2.5%,102.707,0.152%,27668623684
包钢股份,SH600010,1.92,0.01,0.52%,0%,20989529.0,40150680.0,0.07%,-52.53,0.99%,87523262684
豆神教育,SZ300010,4.27,0.09,2.15%,-1.84%,20832296.0,88540203.0,2.55%,-6.14,0,3716429489
荣联科技,SZ002642,8.07,0.31,3.99%,8.03%,20830300.0,166601845.0,3.44%,93.962,0,5361549126
建发股份,SH600153,13.26,0.33,2.55%,-2.86%,20820767.0,279900190.0,0.73%,6.335,4.494%,39848567858
国元证券,SZ000728,6.86,0.06,0.88%,8.37%,20542489.0,139774492.0,0.47%,17.1,2.635%,29935516332
华泰证券,SH601688,12.3,0.1,0.82%,-3.45%,20487900.0,251428950.0,0.28%,11.041,3.662%,111629745032
ST康美,SH600518,2.09,0.02,0.97%,-5%,20293322.0,42309515.0,0.15%,3.596,0,28975481382
威创股份,SZ002308,5.09,0.06,1.19%,19.2%,20019700.0,102498682.0,2.23%,-13.256,0,4612632574
国脉科技,SZ002093,8.0,-0.01,-0.12%,5.4%,19684841.0,156259857.0,1.95%,102.006,0.126%,8049925000
中国平安,SH601318,52.43,0.08,0.15%,11.55%,19617409.0,1027628194.0,0.18%,9.942,4.623%,958433057126
招商银行,SH600036,40.32,0.66,1.66%,8.21%,19603605.0,784725007.0,0.1%,7.629,3.793%,1016864174632
爱尔眼科,SZ300015,34.49,0.76,2.25%,11.01%,19524640.0,669880859.0,0.33%,92.464,0.263%,247518358804
海得控制,SZ002184,16.98,0.15,0.89%,48.17%,19392401.0,318919520.0,8.07%,47.194,1.221%,5975404123
中国重工,SH601989,3.51,0.02,0.57%,0.57%,19356070.0,68076039.0,0.09%,-73.169,0.085%,80035143987
兆驰股份,SZ002429,3.8,0.11,2.98%,8.88%,19309500.0,73614319.0,0.43%,-45.991,0,17247643713
恒久科技,SZ002808,8.93,0.81,9.98%,24.55%,19276130.0,163222223.0,11.23%,-14.49,0,2400384000
光大银行,SH601818,3.09,0.0,0%,0.65%,19042691.0,58863854.0,0.05%,3.717,6.526%,166958818481
三峡能源,SH600905,5.84,0.0,0%,3.36%,18770985.0,109517005.0,0.22%,21.352,0.36%,167138055200
曲美家居,SH603818,7.23,0.01,0.14%,14.76%,18593772.0,135279866.0,3.2%,27.041,0,4246978248
向日葵,SZ300111,3.72,0.16,4.49%,14.11%,18587031.0,68662769.0,1.66%,113.886,0,4165656000
绿地控股,SH600606,2.96,-0.01,-0.34%,-0.67%,18543415.0,54886428.0,0.13%,21.129,0,41600486209
中金环境,SZ300145,2.62,0.03,1.16%,7.82%,18494600.0,48655126.0,0.98%,-6.203,0,5038491178
巨人网络,SZ002558,8.8,0.24,2.8%,10.55%,18143211.0,158105117.0,0.9%,19.695,1.843%,17643445670
金科股份,SZ000656,1.87,0.0,0%,-2.09%,18070911.0,33655377.0,0.34%,-1.916,0,9931871418
宝钢股份,SH600019,6.06,0.08,1.34%,8.41%,17821176.0,107290738.0,0.08%,11.729,7.131%,134945231303
金枫酒业,SH600616,7.14,0.54,8.18%,2.59%,17785851.0,124062172.0,2.66%,-651.409,0.425%,4776695343
皇氏集团,SZ002329,7.98,0.02,0.25%,4.59%,17746609.0,142545460.0,3.33%,-15.426,0,6684367479
创意信息,SZ300366,11.44,0.6,5.54%,18.92%,17621328.0,199023914.0,3.55%,-67.22,0,6950671156
恒宝股份,SZ002104,8.47,0.13,1.56%,14.3%,17538035.0,147886693.0,2.96%,64.042,0,5924000616
南天信息,SZ000948,24.16,0.88,3.78%,15.82%,17521408.0,419871334.0,5.24%,93.132,0.207%,9527754440
石化油服,SH600871,2.03,0.05,2.53%,2.53%,17350454.0,34922949.0,0.13%,283.736,0,38538210267
国机汽车,SH600335,9.13,0.05,0.55%,17.65%,17231608.0,158288386.0,1.18%,42.293,0.764%,13301271955
美吉姆,SZ002621,4.81,0.02,0.42%,11.6%,17214980.0,81569248.0,2.16%,-12.463,0,3938519685
中国能建,SH601868,2.31,0.01,0.43%,0.87%,17045623.0,39219870.0,0.12%,13.154,0.952%,96306587999
ST易购,SZ002024,2.19,0.02,0.92%,-3.1%,16735650.0,36594618.0,0.21%,-0.502,0,20388986844
新华联,SZ000620,3.15,0.0,0%,-14.4%,16540200.0,51892077.0,0.87%,-1.667,0,5955607919
通润装备,SZ002150,28.86,0.16,0.56%,40.57%,16360481.0,468762999.0,4.61%,60.211,0.522%,10271256297
美利云,SZ000815,14.22,0.36,2.6%,4.71%,15987786.0,227601435.0,2.3%,-118.167,0,9886640358
金冠股份,SZ300510,6.02,-0.02,-0.33%,12.52%,15819274.0,96098461.0,1.92%,147.891,0,4980029405
黑猫股份,SZ002068,14.44,0.17,1.19%,20.63%,15569241.0,227698295.0,2.12%,-7738.056,0,10787884574
中国医药,SH600056,15.5,0.27,1.77%,-10.04%,15439637.0,237964961.0,1.03%,40.078,0.84%,23186136094
中国长城,SZ000066,10.55,0.3,2.93%,3.43%,15273166.0,160702284.0,0.48%,964.548,0.444%,34032180368
吉翔股份,SH603399,15.65,1.42,9.98%,13.41%,15257237.0,233811047.0,3%,67.496,0,8116882657
通达电气,SH603390,8.76,0.1,1.15%,34.98%,15229000.0,132350412.0,4.33%,-41.08,0,3080777980
华安证券,SH600909,4.87,0.06,1.25%,6.1%,15190120.0,73512135.0,0.32%,16.154,2.062%,22877617076
隆基绿能,SH601012,43.37,-0.03,-0.07%,2.63%,15186272.0,656250489.0,0.2%,26.305,0.429%,328816812091
沃森生物,SZ300142,41.13,1.87,4.76%,2.34%,15049885.0,610209585.0,0.96%,110.9,0.066%,66008010926
中科云网,SZ002306,4.69,0.15,3.3%,-11.68%,15048400.0,69826830.0,1.85%,996.689,0,3931200000
易华录,SZ300212,24.98,1.13,4.74%,22.39%,14774219.0,365281329.0,2.3%,-94.14,0,16625383296
中国广核,SZ003816,2.68,0.01,0.37%,-0.37%,14728531.0,39299490.0,0.04%,13.837,3.146%,134831291637
华菱钢铁,SZ000932,4.8,0.06,1.27%,2.13%,14604289.0,70214566.0,0.26%,4.706,6.029%,33161435995
中京电子,SZ002579,12.18,-0.02,-0.16%,13.09%,14483136.0,176186923.0,2.49%,-92.819,0.65%,7461694792
大唐发电,SH601991,2.71,0.01,0.37%,-2.87%,14439355.0,39065542.0,0.12%,-5.869,0,50153185466
中国中铁,SH601390,5.52,0.0,0%,-0.72%,14435600.0,79537422.0,0.07%,4.556,3.564%,136632121826
浙商证券,SH601878,10.48,0.14,1.35%,5.54%,14435440.0,150273298.0,0.37%,23.044,1.633%,40643316297
三花智控,SZ002050,24.29,0.49,2.06%,14.47%,14398961.0,351697739.0,0.41%,43.229,1.024%,87258128000
国际医学,SZ000516,12.92,0.43,3.44%,5.56%,14398919.0,183549752.0,0.76%,-26.7,0,29396297597
大华股份,SZ002236,11.95,0.35,3.02%,5.66%,14313030.0,169729367.0,0.73%,13.563,2.232%,36276607593
以岭药业,SZ002603,29.7,0.12,0.41%,-0.87%,14270759.0,425156500.0,1.04%,32.347,1.008%,49636656721
财达证券,SH600906,8.33,0.16,1.96%,10.04%,14157068.0,116534359.0,1.08%,53.132,1.215%,27030850000
傲农生物,SH603363,13.16,0.37,2.89%,2.09%,14008900.0,183353759.0,1.93%,-7.008,0,11463126202
福田汽车,SH600166,3.08,0.02,0.65%,9.61%,13933100.0,42711461.0,0.21%,-4.79,0,24651591503
中远海特,SH600428,6.26,0.07,1.13%,5.03%,13923146.0,87787056.0,0.65%,20.506,0.795%,13438033826
财通证券,SH601108,7.74,0.1,1.31%,8.71%,13910070.0,107128553.0,0.3%,17.499,2.594%,35942484813
深桑达A,SZ000032,23.45,0.99,4.41%,16.38%,13877519.0,324502002.0,2.15%,-134.71,0.425%,26685144037
宁波精达,SH603088,8.71,0.08,0.93%,20.97%,13815604.0,121470909.0,3.21%,30.241,1.443%,3815201408
华策影视,SZ300133,5.42,0.11,2.07%,1.69%,13754047.0,73986362.0,0.85%,27.404,0.407%,10284808722
永辉超市,SH601933,3.52,0.07,2.03%,-3.56%,13740726.0,48074658.0,0.15%,-11.803,0.571%,31944130215
三木集团,SZ000632,4.89,0.07,1.45%,7.24%,13714400.0,66407693.0,2.94%,143.333,0,2276390697
北京银行,SH601169,4.25,0.0,0%,-1.39%,13694800.0,58197968.0,0.06%,3.839,7.193%,89857683156
西藏珠峰,SH600338,23.5,0.71,3.12%,2.53%,13658451.0,319356170.0,1.49%,33.033,0,21483938948
国金证券,SH600109,9.71,0.14,1.46%,11.61%,13601205.0,130902269.0,0.42%,22.579,0.725%,36163528900
华海药业,SH600521,23.92,0.42,1.79%,9.42%,13394817.0,317978418.0,0.92%,51.268,0.421%,35484720589
中银证券,SH601696,11.07,0.21,1.93%,4.73%,13386948.0,147357961.0,0.92%,39.192,0.327%,30752460000
拓维信息,SZ002261,7.18,0.2,2.87%,8.3%,13353517.0,95342106.0,1.2%,92.491,0,9029400976
中国软件,SH600536,62.86,2.86,4.77%,7.77%,13311496.0,837268672.0,2.07%,293.24,0.06%,41487230195
云铝股份,SZ000807,12.96,0.26,2.05%,16.55%,13234696.0,170818086.0,0.39%,11.663,0.875%,44979407543
第一创业,SZ002797,5.9,0.08,1.37%,4.8%,13220140.0,77427291.0,0.32%,53.723,0.681%,24752136000
鸿达兴业,SZ002002,2.68,0.0,0%,-17.28%,13148857.0,35279565.0,0.42%,-43.848,0,8398281811
杭州解百,SH600814,7.66,0.67,9.59%,3.65%,13143593.0,98668116.0,1.84%,18.057,2.497%,5637247224
众兴菌业,SZ002772,8.53,0.41,5.05%,2.52%,13123610.0,111901122.0,3.26%,15.65,1.163%,3475611016
长江证券,SZ000783,5.6,0.06,1.08%,5.07%,12932449.0,72172631.0,0.23%,26.649,5.376%,31023062192
人民网,SH603000,15.65,0.24,1.56%,-7.23%,12895926.0,202031454.0,1.17%,76.782,0.67%,17304065026
三六零,SH601360,6.87,0.15,2.23%,5.05%,12878382.0,88192775.0,0.18%,-23.243,1.453%,49088645163
金证股份,SH600446,12.68,0.18,1.44%,23.23%,12792822.0,161733753.0,1.36%,71.574,0.213%,11929534263
长城证券,SZ002939,9.07,0.14,1.57%,9.54%,12770810.0,114954919.0,0.41%,37.37,1.272%,36551908221
天康生物,SZ002100,8.86,0.07,0.8%,6.62%,12759771.0,113033930.0,0.94%,-50.626,0,11999445091
日发精机,SZ002520,7.62,0.02,0.26%,8.09%,12657600.0,95525951.0,2.02%,-4.974,0,6097868203
天邦食品,SZ002124,6.12,0.05,0.82%,0.16%,12633066.0,77124737.0,0.82%,-14.581,0,11274250797
振东制药,SZ300158,7.09,0.13,1.87%,-4.83%,12616700.0,89008729.0,1.23%,3.146,38.028%,7284937139
奥马电器,SZ002668,5.92,0.24,4.23%,11.49%,12504058.0,73801938.0,1.15%,18.333,0,6428780768
宝利国际,SZ300135,3.03,0.12,4.12%,10.18%,12258100.0,37140879.0,1.73%,-48.757,0,2792448000
上海莱士,SZ002252,6.38,0.01,0.16%,0.63%,12217000.0,77962225.0,0.25%,28.675,0.439%,43006226847
白云机场,SH600004,15.14,0.12,0.8%,0.87%,12174068.0,186933049.0,0.51%,-65.48,0,35832114805
*ST中昌,SH600242,1.47,0.07,5%,27.83%,12115089.0,17646930.0,2.68%,-1.232,0,671297729
世纪华通,SZ002602,3.79,-0.01,-0.26%,-0.52%,12089200.0,45638479.0,0.18%,98.217,0,28245190909
钒钛股份,SZ000629,4.91,0.0,0%,3.81%,12068134.0,59254335.0,0.14%,23.828,0,42238019199
澳洋健康,SZ002172,4.58,-0.02,-0.43%,10.9%,12047200.0,55516145.0,1.57%,-34.194,0,3507054209
建设银行,SH601939,5.63,-0.01,-0.18%,0%,11999710.0,67553644.0,0.13%,4.423,6.477%,1407561803246
华阳股份,SH600348,14.5,0.06,0.42%,1.75%,11968415.0,174412092.0,0.5%,5.619,3.439%,34872500000
海通证券,SH600837,9.0,0.06,0.67%,3.57%,11941243.0,107310264.0,0.13%,16.636,3.333%,117577800000
蓝思科技,SZ300433,10.86,0.34,3.23%,3.13%,11939923.0,128343540.0,0.24%,-111.943,0.922%,53962257978
兴业银行,SH601166,18.23,0.0,0%,3.64%,11929300.0,217136356.0,0.06%,4.187,5.693%,378714630877
上海凯宝,SZ300039,7.69,0.08,1.05%,-4.59%,11926120.0,91416511.0,1.3%,56.161,0.649%,8043740000
鹏欣资源,SH600490,3.09,0.07,2.32%,3%,11873500.0,36426358.0,0.6%,-19.975,0,6837821074
西部证券,SZ002673,6.43,0.13,2.06%,5.58%,11858817.0,75556940.0,0.29%,31.393,1.672%,28694714546
中国交建,SH601800,7.97,-0.04,-0.5%,-0.99%,11851550.0,94631767.0,0.1%,6.846,2.56%,128840720057
立讯精密,SZ002475,29.53,0.29,0.99%,-6.99%,11849030.0,348891267.0,0.17%,23.937,0.37%,210191397596
温氏股份,SZ300498,20.35,0.04,0.2%,3.67%,11779203.0,239612390.0,0.22%,-44.114,0.492%,133770018565
中科金财,SZ002657,17.49,0.31,1.8%,11.83%,11680680.0,203140657.0,3.93%,-90.344,0,5900840471
哈药股份,SH600664,3.13,0.03,0.97%,3.99%,11640000.0,36222874.0,0.46%,192.891,0,7905995248
晶科科技,SH601778,5.61,0.02,0.36%,2%,11639083.0,65472988.0,0.57%,48.219,0.231%,16237446987
国联证券,SH601456,11.91,0.06,0.51%,5.87%,11588587.0,137285598.0,1.17%,38.565,0.842%,33726418431
国海证券,SZ000750,3.47,0.04,1.17%,4.2%,11561909.0,39832055.0,0.21%,65.817,1.014%,18892503534
惠博普,SZ002554,4.02,0.11,2.81%,3.88%,11547700.0,45782372.0,1.35%,66.137,0.176%,5414368243
红塔证券,SH601236,7.84,0.22,2.89%,5.95%,11484712.0,89211488.0,0.24%,67.59,1.279%,36979615897
博腾股份,SZ300363,44.67,2.0,4.69%,9.35%,11464360.0,504976699.0,2.29%,14.029,0.432%,24369203755
卓朗科技,SH600225,6.52,0.02,0.31%,2.35%,11430500.0,74524034.0,0.34%,20.877,0,22242291247
五粮液,SZ000858,205.2,6.62,3.33%,13.56%,11410070.0,2322623742.0,0.29%,30.617,1.478%,796467146546
国中水务,SH600187,2.9,0.0,0%,-18.08%,11399600.0,33090337.0,0.71%,-19.891,0,4679965199
中国中冶,SH601618,3.2,0.0,0%,0.63%,11392200.0,36444245.0,0.06%,7.426,2.438%,66315581344
博纳影业,SZ001330,12.0,0.05,0.42%,0.17%,11361300.0,137075629.0,4.13%,43.979,0,16480482618
弘业期货,SZ001236,14.59,0.04,0.27%,7.91%,11352460.0,163637063.0,11.23%,258.106,0.206%,14713555559
中金黄金,SH600489,8.65,0.07,0.82%,5.62%,11344190.0,98472874.0,0.26%,20.681,2.587%,41929253679
格力地产,SH600185,10.34,0.01,0.1%,-0.86%,11273591.0,116071053.0,0.6%,-51.115,0.971%,19490959920
华天酒店,SZ000428,5.6,0.12,2.19%,-14.76%,11218000.0,62362761.0,1.1%,43.375,0,5705985600
招商轮船,SH601872,6.06,-0.01,-0.16%,8.41%,11166164.0,67934276.0,0.14%,9.566,1.809%,49245075103
中国核电,SH601985,5.99,0.0,0%,-0.17%,11124205.0,66514835.0,0.06%,11.789,2.508%,112913906524
哈投股份,SH600864,5.01,0.14,2.87%,6.6%,11119619.0,54932152.0,0.53%,-16.518,0.706%,10423658305
浙商银行,SH601916,2.92,0.0,0%,-0.68%,11102500.0,32441953.0,0.07%,4.564,0,62104594592
神州泰岳,SZ300002,4.63,0.1,2.21%,6.68%,11088997.0,51103060.0,0.63%,16.343,0.539%,9079855886
格林美,SZ002340,7.65,0.05,0.66%,2.96%,11069380.0,84778434.0,0.22%,32.397,0.353%,39287237161
信雅达,SH600571,10.32,0.55,5.63%,11.93%,11066005.0,112653503.0,2.48%,-83.236,2.408%,4955237051
科大讯飞,SZ002230,34.74,1.48,4.45%,5.82%,11049827.0,378248182.0,0.52%,64.67,0.289%,80634221570
国药现代,SH600420,10.32,0.52,5.31%,13.41%,10997000.0,111051756.0,1.07%,33.271,0.856%,12095927861
中国中车,SH601766,5.19,0.01,0.19%,1.57%,10834451.0,56153660.0,0.04%,15.121,3.475%,148947104617
航天动力,SH600343,9.43,0.46,5.13%,7.77%,10819601.0,101541296.0,1.7%,-27.744,0,6018285862
和邦生物,SH603077,3.06,0.01,0.33%,0.66%,10754800.0,32827181.0,0.12%,6.063,0.49%,27023625698
恒基达鑫,SZ002492,6.77,0.26,3.99%,8.84%,10732944.0,73315128.0,2.69%,25.051,0.593%,2741850000
珠江钢琴,SZ002678,6.72,0.61,9.98%,12.56%,10728425.0,70236390.0,0.79%,72.325,0.64%,9162117371
麦捷科技,SZ300319,8.95,-0.01,-0.11%,15.04%,10692012.0,96044793.0,1.31%,32.428,0.67%,7690999296
民生银行,SH600016,3.46,0.01,0.29%,0.29%,10642384.0,36736851.0,0.03%,4.623,6.192%,151487168017
福石控股,SZ300071,4.01,0.06,1.52%,-7.39%,10632800.0,42101746.0,1.19%,10.682,0,3698614421
信邦制药,SZ002390,5.01,0.16,3.3%,6.6%,10625777.0,52450324.0,0.58%,32.054,1.265%,9738697859
紫光股份,SZ000938,23.98,0.38,1.61%,22.91%,10611271.0,253173440.0,0.37%,31.351,0.418%,68584715379
华谊兄弟,SZ300027,2.63,0.0,0%,-5.4%,10569954.0,27734587.0,0.46%,-6.697,0,7296950567
长江健康,SZ002435,5.18,0.06,1.17%,10.92%,10532800.0,54494440.0,0.88%,-10.154,0,6402392044
富乐德,SZ301297,18.86,0.54,2.95%,25.65%,10489945.0,192225783.0,14.94%,72.244,0,6378651500
中原证券,SH601375,3.8,0.06,1.6%,4.4%,10468197.0,39443500.0,0.3%,147.762,0.557%,17642961860
长电科技,SH600584,26.38,0.12,0.46%,14.45%,10461551.0,274935119.0,0.59%,14.245,0.757%,46944608140
博瑞传播,SH600880,5.51,0.03,0.55%,2.23%,10395480.0,57084968.0,0.95%,97.937,0.455%,6024259827
